"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1700007G11Rik",0.000195255296299912,0.00561797752808989,0.00136986301369863,0.00884955752212389,0,0,0,0,0.56,0,0
"1700007K13Rik",0.000585765888899736,0,0,0.0176991150442478,0,0.00591715976331361,0.0185185185185185,0,0.62,0,0
"1700007L15Rik",0.000585765888899736,0.00561797752808989,0,0.00884955752212389,0.015625,0.029585798816568,0.00142450142450142,0,0.04,0.00497512437810945,0.00854700854700855
"1700008J07Rik",0.00429561651859807,0.0168539325842697,0.0150684931506849,0.0353982300884956,0.015625,0,0.0135327635327635,0.00675675675675676,0.04,0.0149253731343284,0
"1700008O03Rik",0.00829835009274627,0.0112359550561798,0.0136986301369863,0.0353982300884956,0,0.0118343195266272,0.00498575498575499,0,0.04,0.00497512437810945,0
"1700010I14Rik",0,0.00561797752808989,0,0.0265486725663717,0,0.0118343195266272,0.00356125356125356,0.00675675675675676,0,0,0
"1700010K23Rik",0.00302645709264864,0.0280898876404494,0.00821917808219178,0.00884955752212389,0,0,0.00213675213675214,0,0,0,0
"1700010K24Rik",0.00146441472224934,0,0.00273972602739726,0.0176991150442478,0,0,0.00213675213675214,0,0,0,0
"1700011I03Rik",0.000195255296299912,0,0,0.00884955752212389,0,0,0.0113960113960114,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0.96,0,0.00854700854700855
"1700012C14Rik",0.000683393537049692,0,0.00136986301369863,0,0,0,0,0,0,0,0
"1700013F07Rik",9.76276481499561e-05,0.00561797752808989,0,0,0,0,0.000712250712250712,0,0.26,0,0
"1700015F17Rik",0.00126915942594943,0,0.00410958904109589,0,0,0,0,0,0,0,0
"1700016A09Rik",0.0015620423703993,0,0,0,0,0,0.000712250712250712,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,1.4,0,0
"1700016P03Rik",0.00126915942594943,0,0,0,0,0,0.00213675213675214,0,0.02,0,0
"1700017B05Rik",0.00312408474079859,0.0112359550561798,0.00684931506849315,0.00884955752212389,0.0625,0,0.0113960113960114,0.0135135135135135,0.06,0,0
"1700018A04Rik",9.76276481499561e-05,0,0.00136986301369863,0,0,0,0,0,0,0.0298507462686567,0
"1700018L02Rik",0.00253831885189886,0.00561797752808989,0.00410958904109589,0.00884955752212389,0,0.00591715976331361,0.00284900284900285,0,0,0.00497512437810945,0.0170940170940171
"1700019A02Rik",0.00048813824074978,0,0.00136986301369863,0,0,0,0.000712250712250712,0,0,0,0
"1700019D03Rik",0.0309479644635361,0,0.00136986301369863,0.106194690265487,0.015625,0.0355029585798817,0.0384615384615385,0.027027027027027,0.02,0.00497512437810945,0
